"cat01_code","男女別人口総数及び世帯総数","cat02_code","秘匿地域・合算地域有り","area_code","新潟県","unit","value"
"0010","人口総数","1","無し","15101031012","新潟市北区葛塚川端町","人","55"
"0010","人口総数","1","無し","15101031013","新潟市北区葛塚正尺","人","702"
"0010","人口総数","1","無し","15101031015","新潟市北区葛塚上町","人","69"
"0010","人口総数","1","無し","15101031016","新潟市北区葛塚梅ノ町","人","42"
"0010","人口総数","1","無し","15101031017","新潟市北区葛塚松ノ町","人","33"
"0010","人口総数","1","無し","151010320","新潟市北区石動","人","749"
"0010","人口総数","1","無し","15101032001","新潟市北区石動１丁目","人","695"
"0010","人口総数","1","無し","15101032002","新潟市北区石動２丁目","人","54"
"0010","人口総数","1","無し","151010330","新潟市北区柳原","人","2640"
"0010","人口総数","1","無し","15101033001","新潟市北区柳原１丁目","人","524"
"0010","人口総数","1","無し","15101033002","新潟市北区柳原２丁目","人","457"
"0010","人口総数","1","無し","15101033003","新潟市北区柳原３丁目","人","566"
"0010","人口総数","1","無し","15101033004","新潟市北区柳原４丁目","人","510"
"0010","人口総数","1","無し","15101033005","新潟市北区柳原５丁目","人","58"
"0010","人口総数","1","無し","15101033006","新潟市北区柳原６丁目","人","247"
"0010","人口総数","1","無し","15101033007","新潟市北区柳原７丁目","人","278"
"0010","人口総数","1","無し","151010340","新潟市北区白新町","人","1878"
"0010","人口総数","1","無し","15101034001","新潟市北区白新町１丁目","人","294"
"0010","人口総数","1","無し","15101034002","新潟市北区白新町２丁目","人","499"
"0010","人口総数","1","無し","15101034003","新潟市北区白新町３丁目","人","593"
"0010","人口総数","1","無し","15101034004","新潟市北区白新町４丁目","人","492"
"0010","人口総数","1","無し","151010350","新潟市北区朝日町","人","1399"
"0010","人口総数","1","無し","15101035001","新潟市北区朝日町１丁目","人","366"
"0010","人口総数","1","無し","15101035002","新潟市北区朝日町２丁目","人","420"
"0010","人口総数","1","無し","15101035003","新潟市北区朝日町３丁目","人","238"
"0010","人口総数","1","無し","15101035004","新潟市北区朝日町４丁目","人","375"
"0010","人口総数","1","無し","151010360","新潟市北区嘉山","人","914"
"0010","人口総数","1","無し","15101036001","新潟市北区嘉山栄町","人","287"
"0010","人口総数","1","無し","15101036002","新潟市北区嘉山稲荷浦","人","288"
"0010","人口総数","1","無し","15101036003","新潟市北区嘉山上嘉山","人","163"
"0010","人口総数","1","無し","15101036004","新潟市北区嘉山朝日町","人","176"
"0010","人口総数","1","無し","151010370","新潟市北区東栄町","人","1431"
"0010","人口総数","1","無し","15101037001","新潟市北区東栄町１丁目","人","345"
"0010","人口総数","1","無し","15101037002","新潟市北区東栄町２丁目","人","528"
"0010","人口総数","1","無し","15101037003","新潟市北区東栄町３丁目","人","558"
"0010","人口総数","1","無し","151010380","新潟市北区嘉山（街区）","人","2041"
"0010","人口総数","1","無し","15101038001","新潟市北区嘉山（街区）１丁目","人","134"
"0010","人口総数","1","無し","15101038002","新潟市北区嘉山（街区）２丁目","人","347"
"0010","人口総数","1","無し","15101038003","新潟市北区嘉山（街区）３丁目","人","452"
"0010","人口総数","1","無し","15101038004","新潟市北区嘉山（街区）４丁目","人","684"
"0010","人口総数","1","無し","15101038005","新潟市北区嘉山（街区）５丁目","人","192"
"0010","人口総数","1","無し","15101038006","新潟市北区嘉山（街区）６丁目","人","232"
"0010","人口総数","1","無し","151010390","新潟市北区前新田","人","291"
"0010","人口総数","1","無し","15101039001","新潟市北区前新田","人","265"
"0010","人口総数","1","無し","15101039002","新潟市北区前新田前新田沖","人","19"
"0010","人口総数","1","無し","15101039003","新潟市北区前新田上嘉山","人","7"
"0010","人口総数","1","無し","151010400","新潟市北区新鼻","人","357"
"0010","人口総数","1","無し","15101040001","新潟市北区新鼻","人","213"
"0010","人口総数","1","無し","15101040002","新潟市北区新鼻新鼻甲１","人","103"
"0010","人口総数","1","無し","15101040003","新潟市北区新鼻新鼻甲２","人","33"
"0010","人口総数","1","無し","15101040004","新潟市北区新鼻新鼻乙","人","8"
"0010","人口総数","1","無し","151010410","新潟市北区下大谷内","人","452"
"0010","人口総数","1","無し","151010420","新潟市北区樋ノ入","人","268"
"0010","人口総数","1","無し","151010430","新潟市北区木崎","人","4225"
"0010","人口総数","1","無し","15101043001","新潟市北区木崎尾山ニュータウン","人","1280"
"0010","人口総数","1","無し","15101043002","新潟市北区木崎","人","815"
"0010","人口総数","1","無し","15101043003","新潟市北区木崎樋ノ入","人","0"
"0010","人口総数","1","無し","15101043004","新潟市北区木崎尾山","人","603"
"0010","人口総数","1","無し","15101043005","新潟市北区木崎内島見","人","180"
"0010","人口総数","1","無し","15101043006","新潟市北区木崎尾山団地１","人","417"
"0010","人口総数","1","無し","15101043007","新潟市北区木崎尾山団地２","人","491"
"0010","人口総数","1","無し","15101043008","新潟市北区木崎尾山団地３","人","272"
"0010","人口総数","1","無し","15101043009","新潟市北区木崎浦ノ入","人","138"
"0010","人口総数","1","無し","15101043010","新潟市北区木崎笹山","人","29"
"0010","人口総数","1","無し","151010440","新潟市北区北陽","人","526"
"0010","人口総数","1","無し","15101044001","新潟市北区北陽１丁目","人","175"
"0010","人口総数","1","無し","15101044002","新潟市北区北陽２丁目","人","351"
"0010","人口総数","1","無し","151010450","新潟市北区笹山","人","650"
"0010","人口総数","1","無し","151010460","新潟市北区浜浦","人","0"
"0010","人口総数","1","無し","151010470","新潟市北区笹山東","人","0"
"0010","人口総数","1","無し","151010480","新潟市北区横土居","人","477"
"0010","人口総数","1","無し","151010490","新潟市北区浦ノ入","人","262"
"0010","人口総数","1","無し","15101049001","新潟市北区浦ノ入","人","255"
"0010","人口総数","1","無し","15101049002","新潟市北区浦ノ入内島見","人","7"
"0010","人口総数","1","無し","151010500","新潟市北区内島見","人","901"
"0010","人口総数","1","無し","15101050001","新潟市北区内島見","人","832"
"0010","人口総数","1","無し","15101050002","新潟市北区内島見尾山ニュータウン","人","69"
"0010","人口総数","1","無し","151010510","新潟市北区横井","人","476"
"0010","人口総数","1","無し","15101051001","新潟市北区横井","人","143"
"0010","人口総数","1","無し","15101051002","新潟市北区横井月見町","人","268"
"0010","人口総数","1","無し","15101051003","新潟市北区横井法花鳥屋","人","65"
"0010","人口総数","1","無し","151010520","新潟市北区笠柳","人","413"
"0010","人口総数","1","無し","151010530","新潟市北区鳥屋","人","369"
"0010","人口総数","1","無し","15101053001","新潟市北区鳥屋芋黒","人","69"
"0010","人口総数","1","無し","15101053002","新潟市北区鳥屋","人","300"
"0010","人口総数","1","無し","151010540","新潟市北区須戸","人","178"
"0010","人口総数","1","無し","151010550","新潟市北区下早通","人","355"
"0010","人口総数","1","無し","15101055001","新潟市北区下早通","人","333"
"0010","人口総数","1","無し","15101055002","新潟市北区下早通尾山","人","22"
"0010","人口総数","1","無し","151010560","新潟市北区早通","人","603"
"0010","人口総数","1","無し","15101056001","新潟市北区早通","人","590"
"0010","人口総数","1","無し","15101056002","新潟市北区早通芋黒","人","13"
"0010","人口総数","1","無し","151010570","新潟市北区仏伝","人","670"
"0010","人口総数","1","無し","15101057001","新潟市北区仏伝","人","234"
"0010","人口総数","1","無し","15101057002","新潟市北区仏伝新仏伝","人","436"
"0010","人口総数","1","無し","151010580","新潟市北区彩野","人","1281"
"0010","人口総数","1","無し","15101058001","新潟市北区彩野１丁目","人","313"
"0010","人口総数","1","無し","15101058002","新潟市北区彩野２丁目","人","238"
"0010","人口総数","1","無し","15101058003","新潟市北区彩野３丁目","人","355"
"0010","人口総数","1","無し","15101058004","新潟市北区彩野４丁目","人","375"
"0010","人口総数","1","無し","151010590","新潟市北区須戸（街区）","人","1581"
"0010","人口総数","1","無し","15101059001","新潟市北区須戸（街区）１丁目","人","94"
"0010","人口総数","1","無し","15101059002","新潟市北区須戸（街区）２丁目","人","444"
"0010","人口総数","1","無し","15101059003","新潟市北区須戸（街区）３丁目","人","300"
"0010","人口総数","1","無し","15101059004","新潟市北区須戸（街区）４丁目","人","404"
"0010","人口総数","1","無し","15101059005","新潟市北区須戸（街区）５丁目","人","339"
"0010","人口総数","1","無し","151010600","新潟市北区早通北","人","2962"
"0010","人口総数","1","無し","15101060001","新潟市北区早通北１丁目","人","484"
"0010","人口総数","1","無し","15101060002","新潟市北区早通北２丁目","人","414"
"0010","人口総数","1","無し","15101060003","新潟市北区早通北３丁目","人","397"
"0010","人口総数","1","無し","15101060004","新潟市北区早通北４丁目","人","266"
"0010","人口総数","1","無し","15101060005","新潟市北区早通北５丁目","人","1146"
"0010","人口総数","1","無し","15101060006","新潟市北区早通北６丁目","人","255"
"0010","人口総数","1","無し","151010610","新潟市北区早通南","人","2211"
"0010","人口総数","1","無し","15101061001","新潟市北区早通南１丁目","人","283"
"0010","人口総数","1","無し","15101061002","新潟市北区早通南２丁目","人","283"
"0010","人口総数","1","無し","15101061003","新潟市北区早通南３丁目","人","254"
"0010","人口総数","1","無し","15101061004","新潟市北区早通南４丁目","人","258"
"0010","人口総数","1","無し","15101061005","新潟市北区早通南５丁目","人","1133"
"0010","人口総数","1","無し","151010620","新潟市北区高森新田","人","489"
"0010","人口総数","1","無し","15101062001","新潟市北区高森新田","人","395"
"0010","人口総数","1","無し","15101062002","新潟市北区高森新田兄弟堀","人","94"
"0010","人口総数","1","無し","151010630","新潟市北区森下","人","370"
"0010","人口総数","1","無し","15101063001","新潟市北区森下","人","228"
"0010","人口総数","1","無し","15101063002","新潟市北区森下高森新田","人","142"
"0010","人口総数","1","無し","151010640","新潟市北区高森","人","527"
"0010","人口総数","1","無し","15101064001","新潟市北区高森","人","478"
"0010","人口総数","1","無し","15101064002","新潟市北区高森胡桃山","人","49"
"0010","人口総数","1","無し","151010650","新潟市北区大淵","人","0"
"0010","人口総数","1","無し","151010660","新潟市北区三ツ屋","人","59"
"0010","人口総数","1","無し","151010670","新潟市北区大迎","人","193"
"0010","人口総数","1","無し","151010680","新潟市北区太子堂","人","198"
"0010","人口総数","1","無し","151010690","新潟市北区大久保","人","410"
"0010","人口総数","1","無し","151010700","新潟市北区長戸呂","人","878"
"0010","人口総数","1","無し","15101070001","新潟市北区長戸呂","人","515"
"0010","人口総数","1","無し","15101070002","新潟市北区長戸呂大瀬柳","人","353"
"0010","人口総数","1","無し","15101070003","新潟市北区長戸呂大久保","人","10"
"0010","人口総数","1","無し","151010710","新潟市北区灰塚","人","214"
"0010","人口総数","1","無し","151010720","新潟市北区十二","人","197"
"0010","人口総数","1","無し","151010730","新潟市北区山飯野","人","124"
"0010","人口総数","1","無し","151010740","新潟市北区平林","人","172"
"0010","人口総数","1","無し","151010750","新潟市北区十二前","人","7"
"0010","人口総数","1","無し","151010760","新潟市北区川西","人","1801"
"0010","人口総数","1","無し","15101076001","新潟市北区川西１丁目","人","452"
"0010","人口総数","1","無し","15101076002","新潟市北区川西２丁目","人","206"
"0010","人口総数","1","無し","15101076003","新潟市北区川西３丁目","人","581"
"0010","人口総数","1","無し","15101076004","新潟市北区川西４丁目","人","562"
"0010","人口総数","1","無し","151010770","新潟市北区美里","人","1232"
"0010","人口総数","1","無し","15101077001","新潟市北区美里１丁目","人","936"
"0010","人口総数","1","無し","15101077002","新潟市北区美里２丁目","人","296"
"0010","人口総数","1","無し","151010780","新潟市北区上土地亀","人","396"
